name+version*,license*,Copyrights*,end-of-support,dependencies,language,repository,email,url
activation-1.1.jar,"CDDL-1.0",-,-,-,Java,-,-,-
agripagopasrv-client-cxf-2.0.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
antlr-2.7.7.jar,"BSD",-,-,-,Java,-,-,-
axis-1.2.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-codec-1.3.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-httpclient-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-lang3-3.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
commons-logging-api-1.1.jar,"Apache-2.0",-,-,-,Java,-,-,-
coop-diag-1.2.1.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
coop-trace-1.1.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-apachesoap-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-core-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-ejb-weblogic-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-rmi-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-stadapter-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
csi-tools-1.4.6.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",CSI-Piemonte,-,-,Java,-,-,-
cxf-api-2.4.6-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
cxf-rt-core-2.4.6-redhat-1.jar,"Apache-2.0",Redhat,-,-,Java,-,-,-
ejb-2.1.jar,"Libreria Java di Base",-,-,-,Java,-,-,-
geronimo-jaxws_2.1_spec-1.0.jar,"Apache-2.0",-,-,-,Java,-,-,-
geronimo-jaxws_2.1_spec-1.0-sources.jar,"Apache-2.0",-,-,-,Java,-,-,-
geronimo-ws-metadata_2.0_spec-1.1.2.jar,"Apache-2.0",-,-,-,Java,-,-,-
